,Contracts_id,Label,New_cardsex,New_amount,New_paiduprmb,Appointcnt,A,B,C,D,E,F,G,H,I,Clascnt,Diffday,Attended,Class_fee,predictLabels
1491,1492,2,1,2.0,35800.0,0,0,0,0,0,0,0,0,0,0,2,15,2,0.0,1
1547,1548,2,0,2.0,18000.0,0,0,0,0,0,0,0,0,0,0,5,38,4,0.0002,1
1562,1563,2,0,4.0,27800.0,0,0,0,0,0,0,0,0,0,0,42,67,38,0.0015,1
1574,1575,2,1,6.0,39800.0,1,0,0,0,0,0,0,0,0,0,66,30,61,0.0016,1
1619,1620,2,1,5.0,45000.0,0,0,0,0,0,0,0,0,0,0,56,30,48,0.0012,1
1632,1633,2,0,3.0,31800.0,1,0,0,0,0,0,0,0,0,0,116,35,74,0.0036,1
1634,1635,2,1,4.0,35800.0,0,0,0,0,0,0,0,0,0,0,24,12,23,0.0006,1
1654,1655,2,0,7.0,58800.0,0,0,0,0,0,0,0,0,0,0,161,50,146,0.0027,1
1655,1656,2,1,7.0,55000.0,0,0,0,0,0,0,0,0,0,0,187,53,165,0.0034,1
1667,1668,2,1,5.0,41000.0,0,0,0,0,0,0,0,0,0,0,117,45,113,0.0028,1
1670,1671,2,1,4.0,39300.0,2,0,756,0,252,0,0,0,0,504,1512,34,1308,0.0384,1
1675,1676,2,0,4.0,37800.0,1,0,0,0,0,0,0,0,0,0,20,5,18,0.0005,1
1722,1723,2,0,3.0,25800.0,1,0,0,0,0,0,0,0,0,0,547,30,538,0.0212,1
1750,1751,2,0,4.0,38600.0,1,0,0,0,0,0,0,0,0,0,363,32,355,0.0094,1
1797,1798,2,1,4.0,34800.0,0,0,0,0,0,0,0,0,0,0,14,44,14,0.0004,1
1849,1850,2,1,6.0,50800.0,1,0,0,0,0,0,0,0,0,0,608,48,494,0.0119,1
1855,1856,2,1,3.0,36200.0,1,0,0,0,0,0,0,0,0,0,417,35,384,0.0115,1
1860,1861,2,0,6.0,46800.0,0,0,0,0,0,0,0,0,0,0,182,31,134,0.0038,1
1880,1881,2,0,5.0,40300.0,1,0,0,0,0,0,0,0,0,0,143,36,141,0.0035,1
1882,1883,2,0,8.0,52500.0,1,0,0,0,0,0,0,0,0,0,136,40,132,0.0025,1
1891,1892,2,0,2.0,13800.0,0,0,0,0,0,0,0,0,0,0,52,5,49,0.0037,1
1905,1906,2,1,8.0,50900.0,0,0,0,0,0,0,0,0,0,0,175,50,159,0.0034,1
1908,1909,2,0,6.0,50400.0,0,0,0,0,0,0,0,0,0,0,199,38,175,0.0039,1
1912,1913,2,0,6.0,39800.0,1,0,0,0,0,0,0,0,0,0,296,26,251,0.0074,1
1922,1923,2,1,4.0,43800.0,0,0,0,0,0,0,0,0,0,0,275,33,205,0.0062,1
1952,1953,2,0,8.0,42800.0,0,0,0,0,0,0,0,0,0,0,78,17,76,0.0018,1
1986,1987,2,0,6.0,30800.0,0,0,0,0,0,0,0,0,0,0,196,35,187,0.0063,1
1995,1996,2,1,4.0,40800.0,0,0,0,0,0,0,0,0,0,0,40,24,38,0.0009,1
2009,2010,2,0,5.0,43700.0,1,0,0,0,0,0,0,0,0,218,327,33,288,0.0074,1
2013,2014,2,1,6.0,42800.0,2,0,0,0,0,0,0,0,0,0,94,30,94,0.0021,1
2019,2020,2,0,7.0,57700.0,0,0,0,0,0,0,0,0,0,0,572,57,516,0.0099,1
2029,2030,2,1,5.0,42800.0,0,0,0,0,0,0,0,0,0,0,122,28,120,0.0028,1
2038,2039,2,0,4.0,36800.0,0,0,0,0,62,0,0,0,0,0,62,17,55,0.0016,1
2084,2085,2,2,5.0,38800.0,1,0,0,0,0,0,0,0,0,0,123,28,120,0.0031,1
2096,2097,2,2,6.0,46800.0,3,0,0,0,0,0,0,0,0,363,363,16,303,0.0077,1
2099,2100,2,1,5.0,39800.0,1,0,0,0,352,0,0,0,0,0,528,26,366,0.0132,1
2102,2103,2,0,6.0,46800.0,1,0,0,0,0,0,0,0,0,0,274,28,252,0.0058,1
2146,2147,2,0,5.0,10800.0,0,0,0,0,0,0,0,0,0,0,187,75,179,0.0173,1
2162,2163,2,0,7.0,48800.0,0,0,0,0,0,0,0,0,0,0,173,37,139,0.0035,1
2180,2181,2,0,6.0,44800.0,2,0,0,0,0,0,0,0,0,0,782,37,668,0.0174,1
2189,2190,2,1,6.0,11400.0,0,0,0,0,0,0,0,0,0,0,164,85,147,0.0143,1
2220,2221,2,2,6.0,49800.0,1,0,0,0,0,0,0,0,0,0,536,38,536,0.0107,1
2230,2231,2,1,4.0,34800.0,0,0,0,0,0,0,0,0,0,0,130,26,130,0.0037,1
2238,2239,2,0,2.0,18600.0,1,0,81,0,0,0,0,0,0,0,81,34,76,0.0043,1
2246,2247,2,0,6.0,45100.0,1,0,0,0,291,0,0,0,0,0,582,37,502,0.0129,1
2258,2259,2,1,7.0,48200.0,0,0,0,0,0,0,0,0,0,0,188,54,179,0.0039,1
2266,2267,2,0,7.0,45600.0,1,0,0,0,0,0,0,0,0,0,1272,47,1158,0.0278,1
2272,2273,2,0,4.0,40400.0,2,0,0,0,392,0,0,0,0,0,784,36,772,0.0194,1
2286,2287,2,2,5.0,42800.0,1,0,0,0,0,0,0,0,0,0,172,32,144,0.004,1
2333,2334,2,0,8.0,49800.0,0,0,0,0,0,0,0,0,0,0,368,39,346,0.0073,1
2344,2345,2,0,4.0,37800.0,1,0,0,0,0,0,0,0,0,207,207,32,189,0.0054,1
2367,2368,2,0,4.0,37200.0,0,0,0,0,0,0,0,0,0,0,107,26,83,0.0028,1
2371,2372,2,0,7.0,56800.0,0,0,0,0,0,0,0,0,0,0,540,51,449,0.0095,1
2391,2392,2,1,6.0,63200.0,0,0,0,0,0,0,0,0,0,0,414,48,363,0.0065,1
2565,2566,2,0,3.0,25800.0,0,0,0,0,0,0,0,0,0,0,9,3,8,0.0003,1
2632,2633,2,1,5.0,37800.0,0,0,0,0,0,0,0,0,0,0,85,18,77,0.0022,1
2668,2669,2,0,4.0,31800.0,0,0,0,0,0,0,0,0,0,0,6,8,5,0.0001,1
2968,2969,2,0,4.0,52200.0,0,0,0,0,0,0,0,0,0,0,75,54,73,0.0014,1
2977,2978,2,0,6.0,51800.0,0,0,0,0,0,0,0,302,0,0,604,48,584,0.0116,1
3015,3016,2,0,5.0,39800.0,2,0,0,0,0,0,0,0,0,0,134,12,94,0.0033,1
3049,3050,2,0,1.0,9500.0,0,0,0,0,0,0,0,0,0,0,41,28,38,0.0043,1
3075,3076,2,0,6.0,49100.0,0,0,606,0,0,0,0,0,0,0,606,46,580,0.0123,1
3097,3098,2,0,6.0,46800.0,0,0,0,0,0,0,0,0,0,0,30,8,24,0.0006,1
3165,3166,2,0,3.0,33400.0,1,0,0,0,0,0,0,0,0,0,150,42,132,0.0044,1
3176,3177,2,0,3.0,37400.0,0,0,89,0,0,0,0,0,89,0,712,40,528,0.019,1
3197,3198,2,1,8.0,53800.0,0,0,0,0,0,0,0,0,0,0,15,27,15,0.0002,1
3200,3201,2,0,4.0,107000.0,0,0,0,0,0,0,0,0,0,0,553,104,421,0.0051,1
3240,3241,2,0,5.0,42800.0,1,0,0,0,0,0,0,0,0,0,422,34,310,0.0098,1
3246,3247,2,0,4.0,35800.0,1,0,1175,0,0,0,0,0,0,0,1410,34,1320,0.0393,1
3266,3267,2,1,4.0,39400.0,1,0,0,0,0,0,0,0,0,0,54,25,52,0.0013,1
3277,3278,2,0,6.0,43400.0,1,0,0,0,0,0,0,0,0,0,590,47,530,0.0135,1
3303,3304,2,1,3.0,33920.0,0,0,0,0,0,0,0,0,0,0,69,46,63,0.002,1
3333,3334,2,0,4.0,2000.0,0,0,0,0,0,0,0,0,0,0,16,16,16,0.008,1
3362,3363,2,1,5.0,45200.0,1,0,0,0,0,0,0,0,0,146,146,41,136,0.0032,1
3363,3364,2,0,4.0,29200.0,1,0,0,0,0,0,0,0,0,1288,1288,39,1252,0.0441,1
3370,3371,2,1,5.0,42800.0,1,0,0,0,0,0,0,0,0,0,346,28,298,0.008,1
3380,3381,2,1,4.0,28800.0,1,0,0,0,31,0,0,0,0,0,31,11,28,0.001,1
3465,3466,2,0,6.0,35800.0,0,0,0,0,0,9240,0,0,1260,0,10920,33,10114,0.305,1
3628,3629,2,2,5.0,37800.0,1,0,0,0,0,0,0,0,0,0,410,34,386,0.0108,1
3630,3631,2,1,4.0,34800.0,1,0,0,0,0,0,0,0,0,0,74,33,69,0.0021,1
3693,3694,2,0,4.0,36600.0,0,0,0,0,0,0,0,0,0,0,136,36,130,0.0037,1
3696,3697,2,0,4.0,36200.0,1,0,260,0,0,0,0,0,0,0,390,36,369,0.0107,1
3699,3700,2,0,6.0,50800.0,0,0,0,0,0,0,0,0,0,0,82,35,80,0.0016,1
3705,3706,2,0,2.0,27500.0,2,0,96,0,0,0,0,0,0,0,112,22,84,0.004,1
3749,3750,2,0,8.0,48000.0,0,0,0,0,0,0,0,0,0,0,944,48,716,0.0196,1
3851,3852,2,0,5.0,38600.0,1,0,0,0,0,0,0,0,0,0,880,36,728,0.0227,1
3898,3899,2,0,5.0,43800.0,1,0,0,0,0,456,0,0,0,0,2280,34,2220,0.052000000000000005,1
3900,3901,2,1,5.0,36800.0,0,0,0,0,0,0,0,0,0,0,76,26,74,0.002,1
3914,3915,2,0,3.0,33800.0,0,0,194,0,0,0,0,0,0,0,194,33,175,0.0057,1
4079,4080,2,0,4.0,34800.0,2,0,0,0,184,0,0,0,0,0,552,12,528,0.0158,1
4081,4082,2,0,5.0,45000.0,0,0,0,0,0,0,0,0,0,0,164,42,152,0.0036,1
4128,4129,2,0,7.0,44800.0,0,0,0,0,0,0,0,0,0,0,595,57,559,0.0132,1
4140,4141,2,1,7.0,40800.0,0,0,0,0,0,0,0,0,0,0,182,26,180,0.0044,1
4184,4185,2,1,8.0,70800.0,1,0,0,0,148,0,0,0,0,0,296,31,290,0.0041,1
4201,4202,2,1,4.0,32980.0,1,0,0,0,0,0,0,0,0,0,9,17,7,0.0002,1
4262,4263,2,2,5.0,38800.0,1,0,0,0,155,0,0,0,0,0,465,19,444,0.0119,1
4337,4338,2,1,6.0,38600.0,0,0,0,0,0,0,0,0,0,0,95,43,89,0.0024,1
4422,4423,2,1,7.0,46800.0,5,0,0,0,0,0,0,0,0,0,510,31,400,0.0108,1
4464,4465,2,0,5.0,45800.0,0,0,0,0,0,0,0,0,0,0,36,60,34,0.0007,1
4550,4551,2,0,2.0,34000.0,1,0,0,0,0,0,0,0,0,0,59,41,55,0.0017,1
4563,4564,2,0,7.0,35800.0,0,0,0,0,0,0,0,0,0,0,166,50,144,0.0046,1
4593,4594,2,0,8.0,23400.0,0,0,0,0,0,0,0,0,0,0,31,11,28,0.0013,1
4599,4600,2,0,5.0,39200.0,0,0,0,0,0,0,0,0,0,0,25,33,25,0.0006,1
4632,4633,2,0,6.0,45800.0,1,0,0,0,0,0,0,0,0,0,111,35,104,0.0024,1
4639,4640,2,1,5.0,48000.0,0,0,0,0,0,0,0,0,0,0,130,84,125,0.0027,1
4640,4641,2,0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,75,73,63,0.0,1
4766,4767,2,0,4.0,37120.0,0,0,0,0,0,0,0,0,0,0,145,44,144,0.0039,1
4771,4772,2,1,4.0,42400.0,2,0,260,0,0,0,0,0,0,0,780,40,642,0.0183,1
4844,4845,2,0,5.0,37800.0,0,0,0,0,0,0,0,0,0,0,417,45,417,0.011000000000000001,1
4889,4890,2,1,2.0,29000.0,2,0,0,0,0,0,0,0,0,0,468,20,424,0.0161,1
4891,4892,2,1,6.0,48800.0,0,0,0,0,49,0,0,0,0,0,49,34,39,0.001,1
4901,4902,2,0,4.0,34400.0,1,0,0,0,121,0,0,0,0,0,242,37,212,0.006999999999999999,1
4907,4908,2,2,2.0,39600.0,0,0,0,0,0,0,0,0,0,0,100,37,78,0.0025,1
4941,4942,2,1,3.0,34400.0,0,0,0,0,0,0,0,0,0,0,8,46,8,0.0002,1
4974,4975,2,0,5.0,43000.0,0,0,0,0,90,0,0,0,0,0,90,46,63,0.002,1
5007,5008,2,0,5.0,42400.0,1,0,0,0,0,0,0,0,0,0,408,37,398,0.0096,1
5037,5038,2,1,4.0,37600.0,0,0,0,0,0,0,0,0,0,0,178,55,170,0.0047,1
5128,5129,2,1,8.0,63800.0,0,0,0,0,0,0,0,0,0,0,239,45,214,0.0037,1
5175,5176,2,0,7.0,47550.0,3,0,0,0,0,0,0,0,0,0,2244,28,2145,0.0471,1
5196,5197,2,1,4.0,34400.0,0,0,0,0,0,0,0,0,0,0,144,32,140,0.0041,1
5233,5234,2,0,5.0,40400.0,1,0,0,0,0,0,0,0,0,0,222,30,166,0.0054,1
5265,5266,2,1,4.0,45200.0,0,0,0,0,0,0,0,0,0,0,149,44,131,0.0032,1
5297,5298,2,0,6.0,49800.0,1,0,0,0,0,0,0,0,0,0,81,30,53,0.0016,1
5348,5349,2,0,6.0,49800.0,1,0,0,0,135,1620,0,0,675,0,3105,37,3036,0.0623,1
5367,5368,2,2,5.0,42800.0,1,0,0,0,0,0,0,0,0,0,121,33,111,0.0028,1
5390,5391,2,0,4.0,3000.0,0,0,0,0,0,0,0,0,0,0,327,48,308,0.109,1
5406,5407,2,0,7.0,54800.0,0,0,460,0,0,0,0,0,460,0,920,34,858,0.0167,1
5418,5419,2,0,5.0,42800.0,2,0,150,0,0,0,0,0,0,150,300,29,288,0.006999999999999999,1
5467,5468,2,0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,117,34,106,0.0,1
5469,5470,2,0,5.0,34800.0,1,0,0,0,0,0,0,0,0,0,314,51,286,0.009000000000000001,1
5472,5473,2,1,7.0,67500.0,1,0,0,0,99,0,0,0,0,0,99,64,92,0.0014,1
5483,5484,2,1,6.0,43800.0,2,0,0,0,0,0,0,0,0,0,384,13,376,0.0087,1
5484,5485,2,1,4.0,42200.0,0,0,0,0,0,0,0,0,0,0,285,50,284,0.0067,1
5503,5504,2,0,6.0,45800.0,0,0,0,0,0,0,0,0,88,0,88,38,65,0.0019,1
5506,5507,2,1,4.0,16800.0,0,0,0,0,0,0,0,0,0,0,1260,50,1220,0.075,1
5517,5518,2,1,5.0,39800.0,0,0,0,0,0,0,0,0,0,0,34,25,27,0.0008,1
5529,5530,2,0,3.0,24480.0,1,0,0,0,0,0,0,0,0,0,378,36,364,0.0154,1
5533,5534,2,2,8.0,56000.0,0,0,0,0,0,0,0,0,0,0,147,36,136,0.0026,1
5537,5538,2,2,6.0,45800.0,2,0,0,0,0,0,0,0,0,0,416,32,412,0.009000000000000001,1
5543,5544,2,0,4.0,31600.0,0,0,0,0,0,0,0,0,0,0,215,32,211,0.0068,1
5591,5592,2,0,6.0,45800.0,0,0,0,0,0,0,0,0,396,0,792,50,752,0.0172,1
5596,5597,2,1,4.0,41800.0,0,0,0,0,0,0,0,0,0,0,86,43,84,0.002,1
5630,5631,2,0,5.0,34800.0,1,0,0,0,0,0,0,0,0,0,198,21,171,0.0056,1
5633,5634,2,1,3.0,34600.0,0,0,0,0,0,0,0,0,0,0,68,32,66,0.0019,1
5638,5639,2,1,6.0,39800.0,0,0,0,0,0,0,0,0,0,0,9,3,6,0.0002,1
5662,5663,2,0,5.0,41600.0,1,0,0,0,137,0,0,0,0,0,137,32,134,0.0032,1
5667,5668,2,0,5.0,40800.0,0,0,0,0,0,0,0,0,0,0,318,35,298,0.0077,1
5708,5709,2,0,5.0,39800.0,0,0,0,0,0,0,0,0,0,0,8,6,6,0.0002,1
5730,5731,2,2,5.0,41000.0,0,0,0,0,0,0,0,0,0,0,46,20,46,0.0011,1
5740,5741,2,2,5.0,44000.0,1,0,0,0,0,0,0,0,0,0,33,31,31,0.0007,1
5764,5765,2,1,5.0,44000.0,0,0,0,0,0,0,0,0,0,0,98,48,94,0.0022,1
5795,5796,2,0,8.0,59600.0,0,0,0,0,0,352,0,0,0,0,352,55,233,0.0059,1
5810,5811,2,1,5.0,35800.0,0,0,0,0,0,0,0,0,366,0,366,32,342,0.0102,1
5816,5817,2,1,5.0,39800.0,1,0,0,0,0,0,0,0,0,0,7,7,7,0.0001,1
5839,5840,2,2,8.0,70920.0,0,0,0,0,0,0,0,0,0,0,6,19,6,0.0,1
5843,5844,2,0,6.0,49800.0,0,0,0,0,362,0,0,0,0,0,362,45,350,0.0072,1
5855,5856,2,0,6.0,37810.0,1,0,242,0,0,0,0,0,0,0,484,34,468,0.0128,1
5868,5869,2,0,7.0,49200.0,0,0,0,0,0,0,0,0,0,0,201,53,186,0.004,1
5878,5879,2,0,6.0,60200.0,0,0,0,0,0,0,0,0,0,0,254,72,244,0.0042,1
5946,5947,2,0,6.0,39800.0,2,0,0,0,0,0,0,0,0,0,756,24,582,0.0189,1
5947,5948,2,1,8.0,54800.0,0,0,0,0,0,0,0,0,0,0,373,34,361,0.0068,1
5951,5952,2,2,4.0,1000.0,0,0,0,0,0,0,0,0,0,0,259,26,242,0.259,1
5952,5953,2,2,7.0,61800.0,1,0,0,0,0,0,0,0,0,0,44,18,41,0.0007,1
5959,5960,2,2,4.0,36800.0,0,0,0,0,0,0,0,0,0,0,37,17,34,0.001,1
6076,6077,2,1,2.0,4200.0,0,0,0,0,0,0,0,0,0,0,86,14,81,0.0204,1
6142,6143,2,1,4.0,33500.0,0,0,127,0,0,0,0,0,0,0,127,27,116,0.0037,1
6206,6207,2,0,3.0,29800.0,2,0,166,0,0,0,0,0,166,0,498,7,480,0.0167,1
6381,6382,2,0,4.0,31800.0,0,0,0,0,0,0,0,0,0,0,11,3,11,0.0003,1
6518,6519,2,1,5.0,38500.0,1,0,0,0,0,0,0,0,0,0,218,31,210,0.0056,1
6526,6527,2,2,4.0,42800.0,0,0,0,0,0,0,0,0,0,0,129,38,123,0.003,1
6601,6602,2,0,6.0,44600.0,0,0,0,0,0,0,0,0,0,0,124,47,109,0.0027,1
6615,6616,2,1,4.0,38200.0,0,0,0,0,0,0,0,0,0,0,126,42,114,0.0032,1
6824,6825,2,1,5.0,39600.0,0,0,0,0,0,0,0,0,0,0,114,49,104,0.0028,1
6844,6845,2,2,7.0,53800.0,0,0,0,0,0,0,0,0,0,0,262,39,230,0.0048,1
7021,7022,2,0,5.0,37700.0,0,0,0,0,0,0,0,0,0,0,140,24,117,0.0037,1
7034,7035,2,0,8.0,69200.0,0,0,0,0,0,0,0,0,0,0,187,67,171,0.0027,1
7036,7037,2,0,3.0,35200.0,1,0,0,0,0,0,0,0,0,0,82,35,68,0.0023,1
7083,7084,2,1,4.0,37600.0,1,0,0,0,0,0,0,0,0,0,75,26,63,0.0019,1
7204,7205,2,0,4.0,34800.0,0,0,0,0,0,0,0,0,0,0,109,17,76,0.0031,1
7220,7221,2,0,3.0,27800.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1
7267,7268,2,0,4.0,31800.0,0,0,0,0,0,0,0,0,0,0,6,4,5,0.0001,1
7504,7505,2,0,7.0,53800.0,0,0,0,0,0,0,0,0,293,0,879,36,813,0.0163,1
7505,7506,2,1,7.0,48800.0,1,0,0,0,0,0,0,0,0,0,2,0,2,0.0,1
7533,7534,2,1,5.0,96200.0,0,0,0,0,0,0,0,0,0,0,237,42,222,0.0024,1
7558,7559,2,0,6.0,58800.0,0,0,0,0,0,0,0,0,0,0,124,50,115,0.0021,1
7568,7569,2,0,6.0,35800.0,1,0,0,0,0,0,0,0,0,0,40,38,33,0.0011,1
7649,7650,2,1,3.0,27800.0,0,0,0,0,0,0,0,0,0,0,5,2,5,0.0001,1
7673,7674,2,0,7.0,57760.0,0,0,0,0,0,0,0,0,0,0,134,37,98,0.0023,1
7736,7737,2,0,5.0,40800.0,0,0,17,0,0,0,0,0,0,0,34,5,30,0.0008,1
7737,7738,2,0,4.0,36600.0,0,0,0,0,0,0,0,0,0,0,81,24,78,0.0022,1
7763,7764,2,0,4.0,30800.0,0,0,188,0,0,0,0,0,0,0,188,26,180,0.0061,1
7766,7767,2,0,4.0,29800.0,1,0,90,0,0,0,0,0,0,0,90,64,81,0.003,1
7838,7839,2,0,8.0,54800.0,1,0,0,0,0,0,0,0,0,0,286,36,274,0.0052,1
7857,7858,2,0,4.0,31620.0,0,0,0,0,0,0,0,0,0,0,891,42,828,0.0281,1
7860,7861,2,1,4.0,40000.0,0,0,0,0,0,0,0,0,0,0,135,52,99,0.0033,1
8008,8009,2,1,3.0,113800.0,0,0,0,0,0,0,0,0,0,0,88,55,80,0.0007,1
8027,8028,2,2,4.0,31800.0,2,0,320,0,320,0,0,0,0,0,640,20,584,0.0201,1
8078,8079,2,1,4.0,37800.0,0,0,0,0,0,0,0,0,0,0,139,46,121,0.0036,1
8082,8083,2,1,4.0,46800.0,0,0,18,0,0,0,0,0,0,0,36,32,28,0.0007,1
8083,8084,2,0,6.0,49200.0,0,0,0,0,0,0,0,0,0,0,52,25,49,0.001,1
8108,8109,2,0,6.0,43000.0,0,0,0,0,0,0,0,0,0,0,36,37,27,0.0008,1
8132,8133,2,1,7.0,50800.0,0,0,0,0,0,0,0,0,0,0,120,40,109,0.0023,1
8172,8173,2,0,2.0,18990.0,0,0,0,0,0,0,0,0,96,0,96,12,87,0.005,1
8206,8207,2,1,4.0,39000.0,0,0,0,0,0,0,0,0,0,0,54,26,48,0.0013,1
8208,8209,2,1,4.0,36600.0,0,0,0,0,0,0,0,0,0,0,145,28,144,0.0039,1
8209,8210,2,0,7.0,55912.0,1,0,0,0,195,0,0,0,0,0,195,37,180,0.0034,1
8282,8283,2,0,3.0,37300.0,0,0,188,0,188,0,0,0,0,0,564,36,522,0.0151,1
8367,8368,2,1,6.0,45800.0,1,0,0,0,0,0,0,0,0,0,6,19,6,0.0001,1
8378,8379,2,0,6.0,46800.0,0,0,0,0,0,0,0,0,0,0,296,43,276,0.0063,1
8429,8430,2,0,8.0,70600.0,0,0,0,0,0,0,0,0,0,0,1400,94,1210,0.0198,1
8565,8566,2,0,3.0,40800.0,0,0,0,0,0,0,0,0,0,0,57,39,57,0.0013,1
8601,8602,2,1,8.0,50200.0,1,0,0,0,0,0,0,0,0,238,238,51,212,0.0047,1
8615,8616,2,1,5.0,20000.0,0,0,0,0,162,0,0,0,0,0,162,29,120,0.0081,1
8696,8697,2,0,3.0,34400.0,0,0,0,0,0,0,0,0,0,0,123,29,119,0.0035,1
8833,8834,2,0,5.0,39300.0,0,0,0,0,0,0,0,470,0,0,470,32,420,0.0119,1
8844,8845,2,0,5.0,39400.0,0,0,0,0,0,0,0,0,0,0,2365,39,1980,0.06,1
8863,8864,2,0,7.0,52520.0,1,0,0,0,0,0,0,0,0,0,155,51,141,0.0029,1
8878,8879,2,0,6.0,49800.0,1,0,0,0,0,0,0,0,0,0,388,45,298,0.0077,1
8884,8885,2,1,7.0,58400.0,0,0,0,0,0,0,0,0,0,0,251,42,241,0.0042,1
8970,8971,2,0,8.0,64600.0,0,0,0,0,0,0,0,0,0,0,342,51,301,0.0052,1
9029,9030,2,0,5.0,82800.0,0,0,0,0,0,0,0,0,0,0,21,41,15,0.0002,1
9137,9138,2,0,5.0,44800.0,0,0,0,0,0,0,0,0,0,0,394,35,358,0.0087,1
9183,9184,2,0,8.0,70920.0,2,0,0,0,36,0,0,0,0,0,54,28,54,0.0007,1
9272,9273,2,1,5.0,56900.0,0,0,0,0,0,0,0,0,0,0,60,83,58,0.001,1
9305,9306,2,1,4.0,35800.0,0,0,0,0,0,0,0,0,0,0,21,28,16,0.0005,1
9380,9381,2,0,6.0,17700.0,0,0,0,0,0,0,0,0,0,0,110,42,102,0.0062,1
9400,9401,2,2,3.0,27800.0,2,0,20,0,0,0,0,0,0,0,40,16,40,0.0014,1
9429,9430,2,0,5.0,38800.0,1,0,0,0,0,0,0,0,0,0,95,37,78,0.0024,1
9508,9509,2,2,6.0,37700.0,1,0,0,0,0,0,0,0,0,0,508,39,424,0.0134,1
9524,9525,2,2,2.0,32300.0,0,0,185,0,0,0,0,0,0,0,370,20,340,0.0114,1
9571,9572,2,0,5.0,41800.0,0,0,0,0,0,0,0,0,0,0,198,34,152,0.0047,1
9726,9727,2,0,7.0,67000.0,0,0,0,0,0,0,0,0,0,0,467,66,429,0.0069,1
9818,9819,2,0,2.0,32800.0,2,0,0,0,10,0,0,0,0,0,10,32,8,0.0003,1
9927,9928,2,1,6.0,47800.0,0,0,0,0,0,0,0,0,0,0,218,40,208,0.0045,1
9944,9945,2,1,6.0,54000.0,0,0,0,0,0,0,0,0,0,0,328,51,296,0.006,1
9994,9995,2,1,6.0,48600.0,0,0,0,0,0,0,0,0,0,0,70,46,59,0.0014,1
10187,10188,2,0,2.0,39400.0,1,0,0,0,0,0,0,0,0,0,85,36,74,0.0021,1
10234,10235,2,0,4.0,28800.0,1,0,0,0,0,0,0,0,0,0,141,18,130,0.0048,1
10243,10244,2,2,4.0,35400.0,0,0,0,0,0,0,0,0,0,0,29,36,24,0.0008,1
10276,10277,2,0,3.0,24800.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.0001,1
10303,10304,2,0,5.0,37800.0,0,0,0,0,0,0,0,0,0,0,49,38,45,0.0012,1
10331,10332,2,1,3.0,29800.0,1,0,0,0,0,0,0,0,0,0,89,18,81,0.0029,1
10339,10340,2,0,5.0,43600.0,1,0,0,0,0,0,0,0,0,0,504,36,498,0.0115,1
10346,10347,2,2,5.0,39900.0,2,0,0,0,1224,0,0,0,0,0,2448,39,2396,0.0613,1
10381,10382,2,0,5.0,39200.0,0,0,141,0,0,141,0,0,0,0,705,39,695,0.0179,1
